ID	GLOSS	FREQUENCY
2304	THEE (OBLIQUE CASE OF YOU)	370
1132	BEAM	369
1774	STINGY	369
394	SHAMAN (FOLK HEALER)	368
1472	KEY	367
1756	WIDOW	367
2103	PAINFUL OR SICK	367
1881	ENOUGH	367
1961	NECKLACE	367
192	CORNER	366
954	WELL	365
799	WRIST	364
1310	CLEVER	363
1740	PINE	362
1632	FLOOR	362
2366	ONION	361
31	PAN	361
1837	VULVA	361
938	MARE	360
652	PLAIN	360
1626	EXPLAIN	360
1845	BALL	359
1098	WEIGH	359
1195	GIVE BIRTH	358
180	CALL BY NAME	357
1327	UNCLE	357
3371	WASH (ONESELF)	357
1491	MOUSE	356
1273	CANDLE	355
404	ALCOHOL (FERMENTED DRINK)	355
3231	DEITY	355
1137	TENDON	355
1939	SWEAR	354
1481	HAMMER	353
847	THIRSTY	353
1010	BOUNDARY	353
77	YOUNG WOMAN	352
804	WOMB	352
629	LEATHER	352
742	END (OF SPACE)	352
1763	CLUB	351
757	BUTTON	349
796	NIPPLE	349
1192	THREATEN	349
593	POTATO	348
206	FIREFLY	348
413	CARRY ON SHOULDER	348
6	EARTHQUAKE	348
302	CLAN	347
2012	COLLAR	347
19	FISHING LINE	347
369	OWE	346
1579	BE	345
858	STORM	345
46	HOLLOW OUT	345
380	WRINKLED	345
1063	NEPHEW	344
1619	GRANDDAUGHTER	344
85	GIVE BACK	344
117	IMITATE	344
794	PEN	343
1921	PLOUGH	343
425	BE LATE	343
2243	REPAIR	343
754	HURRY	343
684	OWN	343
1069	GLUE	342
1666	MUTE	342
1461	AT	341
481	DISH	341
889	FLAME	340
3447	BEGIN OR START	340
1849	ROW	340
1553	MALE	339
1899	MAD	339
2132	SICKLE OR SCYTHE	339
1148	BRUISE	339
1997	PRESERVE	339
1639	BEER	338
266	SCALE	337
151	RAZOR	337
755	DENY	337
2894	TUMBLE (FALL DOWN)	336
1149	ORPHAN	336
383	MASTER	336
1384	SECOND	335
3137	OAR	335
466	CASSOWARY	335
1558	SIMILAR	334
1134	DIVORCE	333
894	TOAD	332
342	HAY	332
267	NIT	331
1562	MIND	331
636	MILL	330
1866	STUTTER	330
647	PAINT (PIGMENTS)	330
1642	NIECE	330
1986	DISEASE	329
194	FAMILY	328
318	FOOTPRINT	328
1945	IDOL	328
2257	MOTHER-IN-LAW (OF MAN)	327
741	DRIVE	326
1469	WEEK	325
1931	BEESWAX	325
1450	ROOM	324
604	GLASS	324
1245	BUTTER	324
1675	PROMISE	324
878	HELL	324
1545	HOST	323
2417	YOUNGER BROTHER (OF WOMAN)	323
1717	FIFTY	323
1526	MEAL	323
978	WAVE	323
2125	STONE OR ROCK	323
1966	BUNCH	323
699	SAD	322
291	PULL OFF (SKIN)	322
911	TEMPLE	322
2468	BAG	321
1176	SPADE	321
1293	MISTAKE	321
388	FISHNET	319
418	FOR A LONG TIME	319
1888	PAIR	319
